Title,Author,Genre,Rating,Number_of_Reviews
Book 324,Author 45,Non-Fiction,3.6,2301
Book 18,Author 17,Fiction,4.8,3062
Book 192,Author 30,Romance,4.0,3179
Book 207,Author 24,Self-Help,3.2,305
Book 456,Author 5,Fiction,4.1,625
Book 118,Author 34,Mystery,4.3,3368
Book 253,Author 17,Science,3.4,3905
Book 491,Author 41,Self-Help,3.7,1920
Book 76,Author 3,Science,4.7,1757
Book 29,Author 21,Non-Fiction,3.1,4789
Book 281,Author 50,Non-Fiction,3.9,2510
Book 119,Author 37,Non-Fiction,4.5,4800
Book 204,Author 17,Self-Help,3.9,2328
Book 94,Author 37,Mystery,4.3,2096
Book 268,Author 47,Mystery,4.0,396
Book 265,Author 28,Biography,4.5,134
Book 221,Author 19,Fiction,4.9,4593
Book 26,Author 16,Romance,3.9,4657
Book 5,Author 17,Fiction,3.0,175
Book 497,Author 18,Science,3.9,70
Book 205,Author 40,Fantasy,4.6,3162
Book 202,Author 7,Non-Fiction,3.8,2203
Book 327,Author 29,Romance,3.1,1327
Book 218,Author 43,Self-Help,3.3,4112
Book 455,Author 38,Biography,4.1,4705
Book 390,Author 50,Mystery,3.1,2769
Book 457,Author 16,Science,3.2,2716
Book 65,Author 11,Non-Fiction,4.7,1369
Book 164,Author 38,Science,3.7,4686
Book 320,Author 45,Fiction,4.9,2256
Book 79,Author 44,Biography,3.7,1375
Book 347,Author 48,Romance,4.1,831
Book 244,Author 29,Biography,4.0,4095
Book 20,Author 13,Fiction,4.6,2133
Book 490,Author 22,Science,3.2,1438
Book 254,Author 30,Romance,3.5,1629
Book 173,Author 9,Science,4.7,2798
Book 407,Author 43,Science,4.0,3947
Book 235,Author 19,Science,4.6,4102
Book 40,Author 22,Romance,4.9,3370
Book 235,Author 23,Fantasy,3.4,3850
Book 226,Author 29,Science,4.7,2192
Book 150,Author 6,Science,3.5,949
Book 15,Author 5,Self-Help,3.2,2472
Book 464,Author 9,Fantasy,4.5,4193
Book 383,Author 39,Science,3.8,3048
Book 135,Author 7,Fantasy,4.0,2532
Book 298,Author 7,Fantasy,3.5,1806
Book 22,Author 3,Fiction,4.5,2343
Book 486,Author 27,Romance,3.3,1512
Book 239,Author 6,Biography,4.8,1159
Book 352,Author 9,Self-Help,4.2,1562
Book 437,Author 47,Fantasy,3.1,3737
Book 198,Author 2,Science,4.8,333
Book 310,Author 42,Non-Fiction,4.1,4848
Book 348,Author 12,Biography,4.2,4366
Book 92,Author 3,Fantasy,4.3,4664
Book 295,Author 19,Self-Help,4.4,4139
Book 137,Author 49,Fantasy,4.9,1358
Book 336,Author 12,Fantasy,4.5,2463
Book 322,Author 43,Non-Fiction,3.7,1953
Book 117,Author 31,Non-Fiction,3.2,1761
Book 282,Author 40,Mystery,3.3,1704
Book 197,Author 18,Romance,4.4,1712
Book 376,Author 10,Mystery,4.1,3895
Book 195,Author 20,Romance,4.2,4623
Book 402,Author 41,Romance,4.3,1772
Book 155,Author 16,Non-Fiction,3.2,1591
Book 391,Author 45,Mystery,3.7,736
Book 2,Author 11,Non-Fiction,3.4,370
Book 291,Author 17,Fantasy,3.5,3805
Book 217,Author 26,Fantasy,4.5,3049
Book 292,Author 18,Non-Fiction,4.7,1020
Book 491,Author 50,Biography,4.0,1721
Book 381,Author 42,Fantasy,4.3,1729
Book 290,Author 40,Biography,3.1,2317
Book 375,Author 49,Fantasy,4.9,3335
Book 397,Author 14,Fantasy,4.6,1073
Book 31,Author 43,Biography,4.5,1897
Book 244,Author 8,Romance,4.0,1988
Book 370,Author 45,Self-Help,3.4,2844
Book 211,Author 42,Biography,3.9,4190
Book 350,Author 39,Self-Help,4.9,1745
Book 46,Author 13,Mystery,3.0,4042
Book 170,Author 40,Romance,5.0,577
Book 27,Author 1,Fiction,3.7,1952
Book 319,Author 32,Fiction,4.1,4786
Book 127,Author 28,Non-Fiction,3.9,4876
Book 445,Author 42,Fiction,4.3,1437
Book 27,Author 11,Romance,4.0,1306
Book 431,Author 35,Fiction,3.5,4744
Book 371,Author 46,Biography,4.6,660
Book 301,Author 10,Self-Help,3.9,922
Book 296,Author 27,Fiction,3.3,1110
Book 333,Author 35,Mystery,3.6,3252
Book 29,Author 15,Fantasy,3.8,3973
Book 237,Author 5,Mystery,3.7,1196
Book 340,Author 43,Self-Help,4.3,2724
Book 274,Author 1,Fiction,3.8,3660
Book 344,Author 46,Fiction,3.2,3405
Book 54,Author 26,Science,4.3,4953
Book 179,Author 44,Biography,3.3,996
Book 16,Author 50,Self-Help,3.3,3175
Book 347,Author 10,Mystery,3.8,4969
Book 367,Author 46,Mystery,4.3,498
Book 306,Author 29,Romance,4.7,664
Book 472,Author 38,Romance,4.9,4005
Book 462,Author 3,Biography,3.5,316
Book 235,Author 21,Non-Fiction,3.1,3651
Book 82,Author 39,Fiction,4.3,2634
Book 491,Author 29,Mystery,4.3,2791
Book 369,Author 43,Biography,4.0,4226
Book 269,Author 4,Non-Fiction,3.3,1772
Book 144,Author 25,Self-Help,4.2,3215
Book 344,Author 41,Non-Fiction,4.9,1548
Book 5,Author 8,Non-Fiction,3.7,3305
Book 409,Author 15,Biography,3.1,4375
Book 85,Author 34,Self-Help,3.1,2680
Book 323,Author 4,Fantasy,3.2,2165
Book 216,Author 18,Science,4.0,2940
Book 343,Author 27,Non-Fiction,5.0,2925
Book 189,Author 22,Self-Help,4.9,2571
Book 155,Author 15,Fiction,3.1,4569
Book 50,Author 25,Science,4.7,626
Book 490,Author 25,Mystery,3.5,1431
Book 351,Author 24,Non-Fiction,4.7,2648
Book 209,Author 19,Self-Help,4.7,1866
Book 15,Author 34,Fantasy,4.1,3037
Book 5,Author 2,Science,4.6,721
Book 235,Author 23,Romance,4.5,3235
Book 455,Author 35,Non-Fiction,4.9,418
Book 288,Author 48,Biography,4.8,4755
Book 227,Author 6,Fiction,4.8,2918
Book 19,Author 18,Self-Help,4.9,1126
Book 264,Author 6,Non-Fiction,3.6,1816
Book 268,Author 6,Romance,4.9,4662
Book 457,Author 38,Romance,4.5,2780
Book 191,Author 23,Science,4.0,3148
Book 342,Author 22,Non-Fiction,4.0,1608
Book 22,Author 15,Non-Fiction,3.0,1023
Book 363,Author 25,Fantasy,4.8,3428
Book 382,Author 46,Biography,3.7,4751
Book 285,Author 9,Biography,4.2,303
Book 315,Author 30,Biography,4.1,2799
Book 298,Author 22,Mystery,4.8,832
Book 5,Author 8,Biography,4.4,1265
Book 106,Author 29,Self-Help,3.1,156
Book 393,Author 6,Science,4.1,61
Book 290,Author 17,Self-Help,3.3,2574
Book 182,Author 36,Romance,3.0,3659
Book 211,Author 28,Mystery,5.0,766
Book 144,Author 7,Biography,4.1,2698
Book 287,Author 2,Mystery,4.1,3860
Book 323,Author 28,Mystery,4.3,736
Book 170,Author 49,Science,4.3,1240
Book 108,Author 40,Non-Fiction,3.9,1036
Book 89,Author 30,Romance,3.9,4624
Book 186,Author 3,Science,4.4,293
Book 216,Author 35,Biography,4.0,4264
Book 469,Author 34,Fantasy,4.7,2546
